label,text
4,"It's always funny, in an irresistible high school, and consistently free of any joke that would force you to think about it for a millisecond."
2,"Miscalculated, muddy psychological thriller."
5,LaBute is able to balance Traditional or Modern stories skillfully in a way that never beats the others.
1,"For a depressing story, this is a heart-wrenching ending, throwing a bunch of hot items on the viewer’s face and asking for social comment that is seen as fashionable, blinking."
3,"Few of the increasingly attracted events, followed by first screenwriter and director Neil Burger, are terribly compelling, which is a shame, given Barry's amazing performance."
2,The only pain you will feel is because the credit roll your stomach is muttering for some delicious grub.
3,Labute was even more enjoyable as his characters suffered psychologically and talked about their genitals in public.
5,An inspiring and heartwarming film about the desperate attempts of Vietnamese refugees living in US relocation camps to keep their hopes alive in 1975.
4,"Ultimately, ""MIB II"" succeeded due to its rapid fire delivery and sufficiently inspired levity that it could not be dismissed as mindless."
4,I know I will never hear the same thing again as Marvin Gay or Supremes
1,"Caesar set out from her instruction from the line, the new Nicholas Nickleby too much like a fragment of a raw potato."
5,"While the original Naipaul is still the most rich, the film captures its own charm."
3,"She escapes from her past, and she doesn't want to."
2,"Despite the obvious opposite motive, it ended up like a well-respected TV show (of Seinfeld’s), with almost nothing."
2,Millions of dollars accumulated on a project of such magnitude must win more rewards than the lavish blue screen technique and stylish weapons.
5,"Bittersweet comedy / drama full of life, hand gestures, and some much appreciated Italian girls."
4,A tasty appetizer that leaves you wanting more.
5,Extraordinary debut by Josh Koury.
2,"(A) A boldly stroked, cheerfully colored, one-dimensional nonsense machine that caresses the eyeballs while evaporating like both crypts in the fog of the brain."
2,"There 's an excellent 90-minute film here ; unfortunately , it runs for 170 ."
5,I have never seen a movie like this.
4,"there are a lot of things - stoner midnight flick, sci-fi deconstruction, gay fantasy - but most of all, it’s a love story, both sanguine and its title."
2,even after 90 minutes of playing in front of each other Bullock and Grant still look bad sharing the same scene.
2,"Schneider jumps my lame wrists, wears belly-hugging tops and a hip hug, and wraps his hair on his finger presumably enough to keep him laughing..."
5,"It's something of the ultimate Scorsese film, with all the stomach-churning violence, colorful New York gang lore and other trademarks of his personal cinema painted on its largest historic canvas."
2,Zellweger's nervous language and sparse attempt to embody genius make her candidacy for even better actress
4,"The passion comes from the power of Huston’s performance, which seems so much bigger than life and yet so fragile, and in the way Ivan’s character accepts the news of his illness quickly, but still finds himself unable to react."
4,It has a way of penetrating your consciousness by asking you what the film really gets.
2,"Sure, it will play well in European markets, where Mr. Besson is a brand name, and in Asia, where Ms. Shu is an institution, but American audiences are likely to recognize it and discredit it enough."
3,"Brown's monster, like many before him, creates the gentle but awkward tone of the film."
2,Another entry in the oh-these-crazy British sentimental genre heralded by The Full Monty and still struggling to produce another hit.
4,Much more intelligent and attentive than it seems.
5,An intoxicating experience.
4,"And there is the inimitable Diaz, who keeps it all together."
2,"But the problem with Wendigo, during all successful times is not really one of the sources."
2,"A film advertised as a comedy, The Sweet Home of Alabama is not as funny as you would expect."
3,A behind-the-scenes look at the training and dedication that goes into becoming a world-class swordsman and champion who makes a difference to New York City youth.
1,This is the kind of under-inspired campaign that is giving Hollywood series a bad name.
4,"The story is quite simplistic: sadness pushes him, love pushes him, and a second chance to find love in the least likely place - it brought a chord in me."
2,"The kind of shot where whenever one of the characters has a serious soul-searching to do, they head to a perfect beach at sunset."
4,It's a scorcher.
5,"From a Vietnamese perspective, this is an honest and sensitive story."
3,A very nice after-school special.
3,"Overall, this is a pretty mediocre family movie."
1,You can’t believe anyone would buy these things.
3,They exist for muted lines like 'They're back! ''
4,"What saves him ... and makes him one of the better moves based on video games, is that the film admits in advance that the plot makes no sense, so the lack of linearity is the point of the protagonist Alice’s emotional and moral departure."
2,"Despite holding on to an unfortunate touch, the Guys of Knockaround rarely seem to like kicking around raison d'etre which is a new shape like his small guns."
3,"The vistas are sweeping, and the acting is painful."
2,"All three of these descriptions fit Evelyn, a beautiful and vivid play that tells us nothing new."
3,Immediately.
5,A psychological thriller with an intelligent script and an obsessive-compulsive attention to detail.
4,"Miller tells this very compelling story with little fuss or noise, and quietly brings out expertise in expertise."
4,It is a film full of details and nuances that speaks volumes about the human soul’s ability to find soothing events that will easily destroy it forever.
4,A calm and catchy look back at what you would have been Iranian-American in 1979.
4,"It moves quickly, courteously and without fuss; It does not give you time to reflect on the imagination - and in the days of the Cold War - of its premise."
5,You have to watch the sight of anyone involved in the high-tech industry.
3,"This is very pleasant, especially if one still thinks that this dispute can be resolved easily or soon."
4,more valuable than selfishness
1,You better stay home and watch the X-Files.
1,"Years0 years back animation, icals0 years music and Judaism at least set ism0 back."
2,"It's best to avoid going to jail with the boring, nerdy people living in Cherish."
4,`` Birthday Girl 'is the film of the first and foremost actress.
1,"Whaley's determination to immerse you in pure, unrelenting poverty is exhausting."
2,"Like Schindler’s List, The Gray Zone strives to be noble, but ends up just arrogant - in a horrible way."
4,"Good car repression, great fighting scenes and a unique mix of European, American and Asian influences."
3,A rude variation that deals with teens on a subject that playwright Craig Lucas has endlessly explored more grace and fluency in his prelude to a kiss.
1,"The unfortunate title of the film, which has nothing nice about it."
4,And he marks it as one of the most interesting writers / directors working today.
4,"(Clooney) 's debut can be accused of being a bit disciplined, but his style and humor are huge, indicating that he was influenced by some of the filmmakers who directed it, especially the Cohen brothers and Stephen Soderbergh."
5,"Turturro is very interesting and is a ""very cunning"" butler, good at performance art that can't disappear/reappear."
4,Immediately a proof of the divine calling of education and a demonstration of the careful process of imparting knowledge.
2,"Lisa Rinzler's cinematography may be cute, but Love Liza's story itself crashes into a bad faint, managing memory only long enough to complete callow pretension."
3,You would think that by now America would be fed up with fearless British eccentrics with hearts of gold.
2,Text ?
1,"An artificial and inanimate film, such as ""Country Bears"", owes its genesis to the animated display at Disneyland."
4,"For most of the distance, photography provides a delightfully enjoyable journey into the dark places of our national psyche."
4,"Those with a modicum of patience you will find these characters, discussed and admired a unique perspective."
5,"As a skilled fisherman, the director uses the last act to roll in the audience because its gripping hooks us completely."
3,More of a career curiosity than a major opera.
5,"In all respects, Margarita Happy Hour is a favorable feature debut for Chaiken."
1,I had to look away - that was awesome.
2,"If less pressure had been created, Dhigzag might have become richer and more observant."
2,"There’s something in Full Frontal, I guess, about artifice and acting and how it distorts reality for people who make and watch movies, but like most movie riddles, it only works if you’re interested in the characters you see."
4,Naomi Watts is as good as Rachel. Her petite body and vulnerable figure highlight her plight and isolation.
4,"Voy, demak, Charlz Dikkens bu qadar yengil bo'lishini kim bilgan?"
5,"Even if you 've seen `` Stomp '' ( the stage show ) , you still have to see this !"
1,"The story suffers a severe case of oversimplification , superficiality and silliness ."
3,The respective charms of Sandra Bullock and Hugh Grant have worn threadbare .
1,"This is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ."
4,"The people in Jessica are so recognizable and true that , as in real life , we 're never sure how things will work out ."
2,It 's kind of sad that so many people put so much time and energy into this turkey .
2,It reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it .
2,"With a `` Spy Kids '' sequel opening next week , why bother with a contemptible imitator starring a `` SNL '' has-been acting like an 8-year-old channeling Roberto Benigni ?"
3,Underachieves only in not taking the Shakespeare parallels quite far enough .
3,"Though not for everyone , The Guys is a somber trip worth taking ."
5,"The film is powerful , accessible and funny ."
3,"In a 102-minute film , Aaliyah gets at most 20 minutes of screen time ."
5,It 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair .
4,"It 's excessively quirky and a little underconfident in its delivery , but otherwise this is the best ` old neighborhood ' project since Christopher Walken kinda romanced Cyndi Lauper in The Opportunists ."
2,An uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .
2,Too bland and fustily tasteful to be truly prurient .
2,"Instead of panoramic sweep , Kapur gives us episodic choppiness , undermining the story 's emotional thrust ."
3,Just plain silly .
5,"A time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain ."
1,"Stitch is a bad mannered , ugly and destructive little **** ."
4,"Sitting in the third row of the IMAX cinema at Sydney 's Darling Harbour , but I sometimes felt as though I was in the tiny two seater plane that carried the giant camera around Australia , sweeping and gliding , banking and hovering over some of the most not"
1,It 's petty thievery like this that puts flimsy flicks like this behind bars
2,"It 's a hellish , numbing experience to watch , and it does n't offer any insights that have n't been thoroughly debated in the media already , back in the Dahmer heyday of the mid - '90s ."
1,This ludicrous film is predictable at every turn .
4,"Blessed with two fine , nuanced lead performances ."
2,But here 's a movie about it anyway .
2,Extremely confusing .
4,There 's a part of us that can not help be entertained by the sight of someone getting away with something .
2,"Well , it does go on forever ."
3,"Often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in spite of itself ."
4,It manages to squeeze by on Angelina Jolie 's surprising flair for self-deprecating comedy .
3,It 's a documentary that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good .
1,"Some , like Ballistic , arrive stillborn ... looking like the beaten , well-worn video box cover of seven years into the future ."
4,"While dutifully pulling on heartstrings , directors Dean Deblois and Chris Sanders valiantly keep punching up the mix ."
3,It 's quite another to feel physically caught up in the process .
2,They kept much of the plot but jettisoned the stuff that would make this a moving experience for people who have n't read the book .
3,A creaky staircase gothic .
2,"The movie ends with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie ."
2,Painfully padded .
4,"Slow and ponderous , but Rohmer 's drama builds to an intense indoor drama about compassion , sacrifice , and Christian love in the face of political corruption ."
2,"It 's a big idea , but the film itself is small and shriveled ."
4,A high-spirited buddy movie about the reunion of Berlin anarchists who face arrest 15 years after their crime .
